base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,Competitive,Cooperative,8bit_vector,4bit_orig,norm,norm_desc,variant_id,Emotion_Leniency,DNF,DNF_literals
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,25.432,0.6,0.3,0.06,0.04,0.14,0.86,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,31.74,0.44,0.54,0.02,0.0,0.86,0.14,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,32.153,0.52,0.44,0.0,0.04,0.44,0.56,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,20.85,0.0,0.36,0.06,0.58,0.58,0.42,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,35.265,0.62,0.38,0.0,0.0,0.38,0.62,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,22.519,0.02,0.1,0.0,0.88,0.88,0.12,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,23.73,0.34,0.64,0.0,0.02,0.1,0.9,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,33.901,0.36,0.12,0.08,0.44,0.52,0.48,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,25.138,0.08,0.14,0.0,0.78,0.78,0.22,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,35.928,0.02,0.22,0.24,0.52,0.68,0.32,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,18.855,0.0,0.04,0.04,0.92,0.92,0.08,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,15.578,0.28,0.36,0.24,0.12,0.58,0.42,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,34.304,0.02,0.08,0.04,0.86,0.82,0.18,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,32.194,0.14,0.04,0.0,0.82,0.86,0.14,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,27.953,0.04,0.2,0.14,0.62,0.68,0.32,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,23.799,0.78,0.18,0.02,0.02,0.22,0.78,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,28.445,0.0,0.02,0.0,0.98,0.98,0.02,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
