base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.975,0.125,0.3,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.822,0.143,0.425,0.05,0.025,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.413,0.14,0.425,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.772,0.128,0.625,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.301,0.135,0.6,0.125,0.0,0.2,0.675,0.33,0.68
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.837,0.138,0.525,0.0,0.125,0.0,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.69,0.138,0.3,0.05,0.05,0.05,0.85,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.905,0.105,0.35,0.025,0.0,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.65,0.113,0.4,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.99,0.113,0.25,0.05,0.0,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.184,0.138,0.325,0.0,0.025,0.175,0.8,0.8,0.2
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.045,0.11,0.525,0.0,0.025,0.05,0.925,0.93,0.07
